time,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
4.050000,-300.017000,-1100.192451,-300.017252,0.000000,-11.014938,0.000000,0.000252,3.430176,-1.156860,-2.635452
4.052000,-300.017000,-1100.192447,-300.017252,0.000000,0.143051,0.000000,0.000252,2.655029,-1.756714,-2.228694
4.054000,-300.017000,-1100.192060,-300.017271,0.000000,11.587143,-0.585938,0.000271,2.655029,-1.318726,-3.271011
4.056000,-300.017000,-1100.192685,-300.017232,0.000000,-18.739700,1.171875,0.000232,1.983643,-1.428223,-1.864307
4.058000,-300.017000,-1100.191984,-300.017252,0.000000,21.028519,-0.585938,0.000252,1.983643,-1.656738,-3.135425
4.060000,-300.017000,-1100.192518,-300.017232,0.000000,-16.021729,0.585938,0.000232,2.111816,-1.128296,-2.321909
4.062000,-300.017000,-1100.192285,-300.017223,0.000000,7.009506,0.292969,0.000223,2.111816,-1.751953,-2.364280
4.064000,-300.017000,-1100.192113,-300.017223,0.000000,5.149841,0.000000,0.000223,2.874756,-1.185425,-3.050684
4.066000,-300.017000,-1100.192604,-300.017193,0.000000,-14.734268,0.878906,0.000193,2.874756,-1.485352,-1.796514
4.068000,-300.017000,-1100.191913,-300.017232,0.000000,20.742416,-1.171875,0.000232,3.363037,-1.513916,-3.186269
4.070000,-300.017000,-1100.192561,-300.017213,0.000000,-19.454956,0.585938,0.000213,3.363037,-1.137817,-2.033789
4.072000,-300.017000,-1100.192132,-300.017223,0.000000,12.874603,-0.292969,0.000223,2.972412,-1.718628,-2.533762
4.074000,-300.017000,-1100.192189,-300.017223,0.000000,-1.716614,0.000000,0.000223,2.972412,-1.085449,-2.787986
4.076000,-300.017000,-1100.192499,-300.017203,0.000000,-9.298325,0.585938,0.000203,2.124023,-1.542480,-1.796514
4.078000,-300.017000,-1100.191889,-300.017242,0.000000,18.310547,-1.171875,0.000242,2.124023,-1.366333,-3.160847
4.080000,-300.017000,-1100.192580,-300.017193,0.000000,-20.742416,1.464844,0.000193,1.739502,-1.175903,-1.796514
4.082000,-300.017000,-1100.191989,-300.017203,0.000000,17.738342,-0.292969,0.000203,1.739502,-1.651978,-2.694770
4.084000,-300.017000,-1100.192270,-300.017184,0.000000,-8.440018,0.585938,0.000184,2.227783,-1.009277,-2.482917
4.086000,-300.017000,-1100.192361,-300.017174,0.000000,-2.717972,0.292969,0.000174,2.227783,-1.585327,-1.889729
4.088000,-300.017000,-1100.191898,-300.017203,0.000000,13.875961,-0.878906,0.000203,3.002930,-1.218750,-3.059158
4.090000,-300.017011,-1100.192561,-300.017164,-0.251207,-19.884109,1.171875,0.000167,3.002930,-1.242554,-1.635505
4.092000,-300.017083,-1100.191875,-300.017184,-1.781664,20.599365,-0.585938,0.000204,3.155518,-1.556763,-2.830356
4.094000,-300.017261,-1100.192347,-300.017174,-4.657520,-14.162064,0.292969,0.000225,3.155518,-0.980713,-2.194797
4.096000,-300.017500,-1100.192218,-300.017164,-6.787914,3.862381,0.292969,0.000213,2.520752,-1.618652,-2.084634
4.098000,-300.017739,-1100.191984,-300.017184,-7.181250,7.009506,-0.585938,0.000141,2.520752,-1.142578,-3.033735
